Abbreviation,Team,Conference,Division
ARI,Arizona Cardinals,NFC,NFC West
ATL,Atlanta Falcons,NFC,NFC South
BAL,Baltimore Ravens,AFC,AFC North
BUF,Buffalo Bills,AFC,AFC East
CAR,Carolina Panthers,NFC,NFC South
CHI,Chicago Bears,NFC,NFC North
CIN,Cincinnati Bengals,AFC,AFC North
CLE,Cleveland Browns,AFC,AFC North
DAL,Dallas Cowboys,NFC,NFC East
DEN,Denver Broncos,AFC,AFC West
DET,Detroit Lions,NFC,NFC North
GB,Green Bay Packers,NFC,NFC North
HOU,Houston Texans,AFC,AFC South
IND,Indianapolis Colts,AFC,AFC South
JAX,Jacksonville Jaguars,AFC,AFC South
KC,Kansas City Chiefs,AFC,AFC West
LV,Las Vegas Raiders,AFC,AFC West
LAC,Los Angeles Chargers,AFC,AFC West
LAR,Los Angeles Rams,NFC,NFC West
MIA,Miami Dolphins,AFC,AFC East
MIN,Minnesota Vikings,NFC,NFC North
NE,New England Patriots,AFC,AFC East
NO,New Orleans Saints,NFC,NFC South
NYG,New York Giants,NFC,NFC East
NYJ,New York Jets,AFC,AFC East
PHI,Philadelphia Eagles,NFC,NFC East
PIT,Pittsburgh Steelers,AFC,AFC North
SF,San Francisco 49ers,NFC,NFC West
SEA,Seattle Seahawks,NFC,NFC West
TB,Tampa Bay Buccaneers,NFC,NFC South
TEN,Tennessee Titans,AFC,AFC South
WAS,Washington Commanders,NFC,NFC East
